folio,year,trim,unidad,ciudad,punto,turno,p1,p2,p3a,p3n,p4,p5,p5_1,p5_2,p6,p6_1,p7,p8,p8_1,p9,p9_1,p9_2,p9_3_1,p9_3_2,p9_3_3,p9_3_4,p9_4_1,p9_4_2,p9_4_3,p10p,p11p,p11_1d,p11_1m,p11_1u,p11_2e,p11_2m,p11_2l,p11_2u,p11_3es,p11_3cn,p12,p12_1,p12_2,p12_2_1,p12_4,p12_5,p12_6_1,p12_6_2,p12_6_3,p12_6_4,p12_6_5,p12_6_6,p12_6_7,p12_6_8,p12_7,p12_8,p12_9c,p12_9u,p12_9t,p12_10,p12_11_1,p12_11_2,p13,p14,p14_1,p15,p16,p16_1,p16_2,p17,p18,p18_1,p18_2,p18_2_1,p18_2_2,p18_2_3,p19,p20,p20_1c,p20_1u,p20_2,p21_1,p21_2,p21_3,p21_4,p21_5,p21_6,p22_1e,p22_1l,p22_1u,p22_2e,p22_2l,p22_2u,p23_1,p23_2,p23_3,p23_4,p23_5,p23_6,p23_7,p23_8,p23_9,p23_10,p23_11,p23_12,p23_13,p23_14,p24e,p24m,p24l,p24u,p25_0_1,p25_0_2,p25_0_3,p25_0_4,p25_0_5,p25_0_6,p25_0_7,p25_1_1,p25_1_2,p25_1_3,p25_1_4,p25_1_5,p25_1_6,p25_1_7,p25_2_1,p25_2_2,p25_2_3,p25_2_4,p25_2_5,p25_2_6,p25_2_7,p25_2_8,p26,p26_1_1,p26_1_2,p26_1_3,p26_1_4,p26_1_5,p26_1_6,p26_1_7,p26_2,p27_1,p27_1_1,p27_2,p27_1_2,p27_3,p27_1_3,p27_4,p27_1_4,p28,p29,p29_1,p30e,p30m,p30l,p30u,p30_1c,p30_1t,p30_3,p30_4,p30_5,p30_6,p30_6_1_1,p30_6_1_2,p30_6_1_3,p30_6_1_4,p30_6_1_5,p30_6_1_6,p30_6_1_7,p30_6_1_8,p30_6_1_9,p30_6_1_10,p31,p32,p33c,p33t,p33_1c,p33_1u,p33_1_1,p34e,p34m,p34l,p34u,p34_1,p34_1_1,p34_2,p34_2_1_1,p34_2_1_2,p34_2_1_3,p34_2_1_4,p34_2_1_5,p34_2_1_6,p34_2_2,p34_3_0_1,p34_3_0_2,p34_3_0_3,p34_3_0_4,p34_3_0_5,p34_3_0_6,p34_3_0_7,p34_3_1_1,p34_3_1_2,p34_3_1_3,p34_3_1_4,p34_3_1_5,p34_3_1_6,p34_3_1_7,p34_3_1_8,p34_4c,p34_4t,p34_5_1,p34_5_2,p34_5_3,p34_5_4,p34_5_5,p34_5_6,p34_5_7,p34_6,p34_7,p34_8,p34_9,p34_10_1,p34_10_2,p34_10_3,p34_10_4,p34_10_5,p34_10_6,p34_10_7,p34_10_8,p34_11,p34_12,p35,p35_1,p36,p37,p37_1,p38,p39m,p39a,p40,p41,p42,p43,p44,p45,p45_1,p45_2,p45_3,p46,p47,p48,p48_1,p49,p50,p50_1,p51c,p51t,p52,p52_1,p52_2,p52_3,p53,p54,p55_1,p55_2,p55_3,p55_4,p56,filtro,ponfin3
59,2017,1,51701,1,1,1,1,20,6,1,1,2,2,2,2,-2,6,2,2,4,1,2,1,0,1,0,1,2,2,1,1,13,1326,2,-9,-9,-9,-9,-9,-9,1,-11,2,3,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,2,96,5,1,1,1305024,2,-16,-16,1,1,-17,-17,-17,-17,-17,0,2,-21,-21,-21,1,2,2,2,2,2,7,71010001,2,7,71010001,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7102,999999997,97,2,2,2,2,2,2,2,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,2,-25,-25,-25,-25,-25,-25,-25,-25,2,-26,2,-27,2,-28,2,-29,2,2,2,-31,-31,-31,-31,-31,-31,-31,-31,-31,3,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,1,1,5,2,2500,2,2,30,30003,300030001,2,4,1,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,1,-37,-38,3,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,1,2,0,-39,-39,0,-40,-40,-40,-40,0,-41,-41,-41,-43,-43,-43,-43,-43,1,280220001,2,-47,48,2,-48,5,4,1,2,1,1,2,2,2,2,2,2,2,1,26.48119689
62,2017,1,51701,1,1,1,1,25,6,1,1,2,2,2,2,-2,6,2,2,6,2,2,1,0,1,0,1,2,2,1,1,13,1301,2,-9,-9,-9,-9,-9,-9,1,-11,2,2,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,1,96,5,1,1,1312047,2,-16,-16,2,1,-17,-17,-17,-17,-17,3,2,-21,-21,-21,1,2,2,2,2,2,7,70780001,2,7,71010001,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,30,30193,301930001,2,2,2,2,2,2,2,2,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,2,-25,-25,-25,-25,-25,-25,-25,-25,2,-26,2,-27,2,-28,2,-29,2,2,2,-31,-31,-31,-31,-31,-31,-31,-31,-31,3,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,1,1,3,2,2500,1,2,30,30193,301930001,2,4,1,3,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,-37,-38,15,2,1,2,2,2,2,1,1,2,2,3,2,2,2,2,2,2,2,2,2,1,2,0,-39,-39,0,-40,-40,-40,-40,0,-41,-41,-41,-43,-43,-43,-43,-43,1,280320001,2,-47,48,1,1,5,4,1,2,1,2,2,2,2,2,2,2,2,1,26.48119689
104,2017,1,91701,1,1,1,1,26,3,3,-1,2,2,2,2,-2,6,2,2,8,3,2,1,0,1,0,1,2,2,1,1,13,1306,1,-9,-9,-9,-9,-9,-9,1,-11,2,3,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,1,96,5,1,1,1312047,2,-16,-16,1,1,-17,-17,-17,-17,-17,1,2,-21,-21,-21,1,2,2,2,2,2,7,70090001,2,7,70650001,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,7,7065,70650001,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,2,-23,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,2,-26,2,-27,2,-28,2,-29,2,2,2,-31,-31,-31,-31,-31,-31,-31,-31,-31,2,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,1,1,9,2,2000,2,2,7,7065,70650001,2,3,1,2,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,-37,-38,2,2,1,2,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,2,3,1,2002,1,1,2017,1,2017,1,2,5,-42,-43,-43,-43,-43,-43,3,20020001,2,-47,34,2,-48,555,5,2,-49,1,2,2,2,2,2,2,2,2,1,17.13489211
107,2017,1,91701,1,1,1,1,65,2,3,-1,2,2,2,2,-2,5,1,-3,3,1,1,0,1,3,1,1,2,2,1,1,6,614,2,-9,-9,-9,-9,-9,-9,1,-11,2,2,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,2,96,5,1,1,1215013,2,-16,-16,1,1,-17,-17,-17,-17,-17,0,2,-21,-21,-21,1,2,2,2,2,2,7,70890001,2,7,70890001,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7089,70890001,2,2,2,2,2,2,2,2,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,2,-25,-25,-25,-25,-25,-25,-25,-25,2,-26,2,-27,2,-28,2,-29,2,2,2,-31,-31,-31,-31,-31,-31,-31,-31,-31,3,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,1,1,1,1,200,2,2,7,7089,70890001,2,4,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,-37,-38,6,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,998,98,9998,98,98,9998,98,9998,98,98,98,98,98,98,98,98,98,98,999999998,98,98,98,98,98,998,98,98,98,98,98,98,98,98,98,98,98,98,1,17.13489211
135,2017,1,111701,1,1,1,1,20,3,3,-1,2,2,2,2,-2,6,2,2,8,5,2,1,0,1,0,1,2,2,1,1,1,129,1,-9,-9,-9,-9,-9,-9,2,2,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,1,96,4,4,1,1217001,2,-16,-16,1,2,1,0,-18,-18,-18,1,2,-21,-21,-21,1,2,2,2,2,2,7,70870001,1,7,70890001,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7089,70890001,2,2,2,2,2,2,2,2,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,2,-25,-25,-25,-25,-25,-25,-25,-25,2,-26,2,-27,2,-28,2,-29,2,2,2,-31,-31,-31,-31,-31,-31,-31,-31,-31,3,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,1,1,2,2,400,2,2,7,7089,70890001,2,4,1,3,1,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,-37,-38,1,2,1,2,1,1,1,2,1,2,1,1,2,1,2,2,2,2,2,2,2,1,2,0,-39,-39,0,-40,-40,-40,-40,0,-41,-41,-41,4,2,-44,1,2,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,1,2,2,2,2,2,2,1,28.81777309
136,2017,1,111701,1,1,1,1,23,3,2,-1,2,2,2,2,-2,6,2,2,4,2,2,1,0,1,0,1,2,2,1,1,5,511,2,-9,-9,-9,-9,-9,-9,1,-11,1,-13,421,1,2,2,2,2,2,2,2,2,12,6,5400,1,5,461,6,96,4,4,1,1215013,2,-16,-16,1,1,-17,-17,-17,-17,-17,3,2,-21,-21,-21,1,2,2,2,2,2,7,70870001,1,7,70890001,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7089,70890001,2,2,2,2,2,2,2,2,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,2,-25,-25,-25,-25,-25,-25,-25,-25,2,-26,2,-27,2,-28,2,-29,2,2,2,-31,-31,-31,-31,-31,-31,-31,-31,-31,3,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,1,1,2,2,2000,2,2,7,7089,70890001,2,4,1,1,1,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,-37,-38,1,2,2,2,1,1,1,1,1,2,2,1,2,1,2,2,2,2,2,2,2,1,2,0,-39,-39,0,-40,-40,-40,-40,0,-41,-41,-41,4,2,-44,1,2,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,1,2,2,2,2,2,2,1,28.81777309
140,2017,1,111701,1,1,1,1,18,6,1,1,2,2,2,2,-2,6,2,2,11,5,2,1,0,1,0,1,2,2,1,1,1,101,2,-9,-9,-9,-9,-9,-9,1,-11,2,3,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,2,96,4,1,1,1217001,2,-16,-16,1,1,-17,-17,-17,-17,-17,1,2,-21,-21,-21,1,2,2,2,2,2,7,70890001,2,7,70890001,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7009,70090001,2,2,2,2,2,2,2,2,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,2,-25,-25,-25,-25,-25,-25,-25,-25,2,-26,2,-27,2,-28,2,-29,2,2,2,-31,-31,-31,-31,-31,-31,-31,-31,-31,2,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,1,1,3,2,450,2,2,20,20082,999999997,97,4,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,-37,-38,1,2,2,2,1,1,1,1,2,1,1,2,2,1,1,2,2,2,2,2,2,1,2,0,-39,-39,0,-40,-40,-40,-40,0,-41,-41,-41,1,2,-44,1,1,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,2,2,2,2,2,2,2,1,28.81777309
141,2017,1,111701,1,1,1,1,31,6,1,1,2,2,2,2,-2,1,1,-3,4,1,1,1,1,1,1,1,2,2,1,1,1,138,2,-9,-9,-9,-9,-9,-9,1,-11,2,3,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,2,96,4,1,1,1217001,2,-16,-16,1,1,-17,-17,-17,-17,-17,1,2,-21,-21,-21,1,2,2,2,2,2,7,70710101,1,7,70710101,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7089,70890001,2,2,2,2,2,2,2,2,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,2,-25,-25,-25,-25,-25,-25,-25,-25,2,-26,2,-27,2,-28,2,-29,2,2,2,-31,-31,-31,-31,-31,-31,-31,-31,-31,3,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,1,1,3,2,550,2,2,7,7040,70400001,2,4,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,-37,-38,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,0,-39,-39,0,-40,-40,-40,-40,0,-41,-41,-41,4,2,-44,1,2,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,2,2,2,2,2,2,2,1,28.81777309
148,2017,1,121701,1,1,1,1,20,2,3,-1,2,2,2,2,-2,6,2,2,3,2,2,1,0,1,0,1,2,2,1,1,11,1106,1,-9,-9,-9,-9,-9,-9,2,1,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,1,96,4,1,1,1217001,1,1,2,1,1,-17,-17,-17,-17,-17,1,2,-21,-21,-21,1,2,2,2,2,2,7,70890001,2,20,200670001,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,20,99997,999999997,97,2,2,2,2,2,2,2,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,2,-25,-25,-25,-25,-25,-25,-25,-25,2,-26,2,-27,2,-28,2,-29,2,2,2,-31,-31,-31,-31,-31,-31,-31,-31,-31,2,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,1,1,7,2,2500,2,2,30,30193,301930001,2,4,1,3,1,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,-37,-38,4,2,2,2,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,1,2,1,2,0,-39,-39,0,-40,-40,-40,-40,0,-41,-41,-41,1,1,1,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,2,2,2,2,2,2,2,1,24.40424028
149,2017,1,121701,1,1,1,1,20,6,1,1,2,2,2,2,-2,6,2,2,10,8,2,1,0,1,0,1,2,2,1,1,12,1207,99,-9,-9,-9,-9,-9,-9,1,-11,2,2,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,1,96,4,1,1,1217001,2,-16,-16,1,1,-17,-17,-17,-17,-17,1,2,-21,-21,-21,1,2,2,2,2,2,7,70890001,2,7,70090001,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,20,20007,999999997,97,2,2,2,2,2,2,2,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,2,-25,-25,-25,-25,-25,-25,-25,-25,2,-26,2,-27,2,-28,2,-29,2,2,2,-31,-31,-31,-31,-31,-31,-31,-31,-31,3,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,1,1,4,2,2000,2,2,20,20007,999999997,97,4,1,4,1,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,-37,-38,3,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,0,-39,-39,0,-40,-40,-40,-40,0,-41,-41,-41,1,1,2,1,1,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,2,2,2,2,2,2,2,1,24.40424028
150,2017,1,121701,1,1,1,1,25,6,1,1,2,2,2,2,-2,6,1,-3,4,1,1,1,0,1,0,1,2,2,1,1,9,920,2,-9,-9,-9,-9,-9,-9,1,-11,1,-13,611,2,2,2,2,2,2,2,2,2,8,6,1000,1,4,111,1,96,4,1,1,1217001,2,-16,-16,1,1,-17,-17,-17,-17,-17,1,2,-21,-21,-21,1,2,2,2,2,2,7,70890001,2,7,71010001,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7101,71010001,2,2,2,2,2,2,2,2,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,2,-25,-25,-25,-25,-25,-25,-25,-25,2,-26,2,-27,2,-28,2,-29,2,2,2,-31,-31,-31,-31,-31,-31,-31,-31,-31,3,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,1,1,3,2,1300,2,2,7,7101,71010001,2,4,1,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-37,-38,1,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,0,-39,-39,0,-40,-40,-40,-40,0,-41,-41,-41,1,2,-44,1,2,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,2,2,2,2,2,2,2,1,24.40424028
153,2017,1,121701,1,1,1,1,24,3,1,1,2,2,2,2,-2,5,1,-3,7,3,2,1,1,1,1,1,2,2,1,1,13,1321,1,-9,-9,-9,-9,-9,-9,1,-11,2,2,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,1,96,4,1,1,1312047,2,-16,-16,2,1,-17,-17,-17,-17,-17,3,2,-21,-21,-21,1,2,2,2,2,2,7,70780001,2,7,70650001,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7065,70650001,2,2,2,2,2,2,2,2,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,2,-25,-25,-25,-25,-25,-25,-25,-25,2,-26,2,-27,2,-28,2,-29,2,2,2,-31,-31,-31,-31,-31,-31,-31,-31,-31,2,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,1,1,1,2,1000,2,2,7,7065,70650001,2,4,1,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,1,1,-37,-38,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,0,-39,-39,0,-40,-40,-40,-40,0,-41,-41,-41,1,1,2,1,2,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,2,2,2,2,2,2,2,1,24.40424028
154,2017,1,121701,1,1,1,1,37,2,1,1,2,2,2,2,-2,6,2,2,6,2,2,1,0,1,0,2,2,2,1,1,12,1207,1,-9,-9,-9,-9,-9,-9,1,-11,2,2,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,1,96,5,1,1,1215013,2,-16,-16,1,1,-17,-17,-17,-17,-17,0,2,-21,-21,-21,1,2,2,2,2,2,7,70570001,2,97,999999997,97,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7057,70570001,2,2,2,2,2,2,2,2,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,2,-25,-25,-25,-25,-25,-25,-25,-25,2,-26,2,-27,2,-28,2,-29,2,2,2,-31,-31,-31,-31,-31,-31,-31,-31,-31,3,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,1,1,8,1,300,2,2,7,7057,70570001,2,4,1,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,-37,-38,3,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,0,-39,-39,0,-40,-40,-40,-40,0,-41,-41,-41,-43,-43,-43,-43,-43,1,260040001,2,-47,12,1,2,3,4,1,2,1,2,2,2,2,2,2,2,2,1,24.40424028
155,2017,1,121701,1,1,1,2,43,3,1,1,1,1,2,2,-2,5,2,1,6,1,2,1,1,1,1,2,2,2,1,1,13,1315,2,-9,-9,-9,-9,-9,-9,2,1,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,1,96,4,1,1,1312047,2,-16,-16,2,1,-17,-17,-17,-17,-17,3,2,-21,-21,-21,1,2,2,2,2,2,7,71010001,2,97,999999997,97,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7101,71010001,2,2,2,2,2,2,2,2,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,2,-25,-25,-25,-25,-25,-25,-25,-25,2,-26,2,-27,2,-28,2,-29,2,2,2,-31,-31,-31,-31,-31,-31,-31,-31,-31,2,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,1,1,3,2,500,2,2,7,7101,71010001,2,4,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,-38,3,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,0,-39,-39,0,-40,-40,-40,-40,0,-41,-41,-41,1,2,-44,1,2,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,2,2,2,2,2,2,2,1,68.64003057
237,2017,1,171701,1,1,1,1,21,6,1,1,2,2,2,2,-2,6,2,2,7,2,2,1,0,1,0,1,2,2,1,1,17,1734,99,-9,-9,-9,-9,-9,-9,1,-11,1,-13,922,2,2,2,2,2,2,2,2,2,8,6,75,1,2,236,1,96,5,1,1,1705015,2,-16,-16,2,1,-17,-17,-17,-17,-17,0,2,-21,-21,-21,1,2,2,2,2,2,7,70650001,2,27,270040001,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,27,27004,270040001,2,2,2,2,2,2,2,2,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,2,-25,-25,-25,-25,-25,-25,-25,-25,1,2,2,-27,2,-28,2,-29,2,2,2,-31,-31,-31,-31,-31,-31,-31,-31,-31,3,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,1,1,3,2,5000,2,2,98,99998,999999998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,-37,-38,998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,998,98,9998,98,98,9998,98,9998,98,98,98,98,98,98,98,98,98,98,999999998,98,98,98,98,98,998,98,98,98,98,98,98,98,98,98,98,98,98,1,17.4464356
238,2017,1,171701,1,1,1,1,35,3,2,-1,2,2,2,2,-2,5,1,-3,5,1,1,1,1,1,1,1,2,2,1,1,6,614,2,-9,-9,-9,-9,-9,-9,1,-11,2,2,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,1,96,5,1,1,1215013,2,-16,-16,2,1,-17,-17,-17,-17,-17,0,2,-21,-21,-21,1,2,2,2,2,2,7,70890001,2,7,70090001,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,20,20067,200670001,2,2,2,2,2,2,2,2,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,2,-25,-25,-25,-25,-25,-25,-25,-25,2,-26,2,-27,2,-28,2,-29,2,2,2,-31,-31,-31,-31,-31,-31,-31,-31,-31,3,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,1,1,1,3,2000,1,2,20,20067,200670001,2,4,1,3,1,2,2,1,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,1,-37,-38,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1,2,0,-39,-39,0,-40,-40,-40,-40,0,-41,-41,-41,-43,-43,-43,-43,-43,1,280320001,2,-47,97,2,-48,1,4,2,-49,1,2,2,2,2,2,2,2,2,1,17.4464356
242,2017,1,171701,1,1,1,1,35,6,1,1,2,2,2,2,-2,6,1,-3,6,3,1,0,0,1,0,1,2,2,1,1,5,501,1,-9,-9,-9,-9,-9,-9,1,-11,2,2,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,1,96,5,1,1,1217001,2,-16,-16,2,1,-17,-17,-17,-17,-17,1,2,-21,-21,-21,1,2,2,2,2,2,7,70890001,2,7,70090001,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,20,20327,999999997,97,2,2,2,2,2,2,2,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,2,-25,-25,-25,-25,-25,-25,-25,-25,2,-26,2,-27,2,-28,2,-29,2,2,2,-31,-31,-31,-31,-31,-31,-31,-31,-31,3,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,2,1,3,2,5000,1,1,20,20327,999999997,97,4,1,2,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,-37,-38,6,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,0,-39,-39,0,-40,-40,-40,-40,0,-41,-41,-41,-43,-43,-43,-43,-43,1,260430001,1,3,4,1,1,555,5,1,2,1,1,2,2,2,2,2,2,2,1,17.4464356
243,2017,1,171701,1,1,1,1,23,2,3,-1,2,2,2,2,-2,6,2,2,3,1,2,1,0,1,0,1,2,2,1,1,12,1210,1,-9,-9,-9,-9,-9,-9,1,-11,1,-13,735,1,2,2,2,2,2,2,2,2,8,6,60,1,2,432,1,96,5,1,1,1312047,2,-16,-16,2,1,-17,-17,-17,-17,-17,0,2,-21,-21,-21,1,2,2,2,2,2,7,70340001,2,7,71010001,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7078,70780001,2,2,2,2,2,2,2,2,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,2,-25,-25,-25,-25,-25,-25,-25,-25,2,-26,2,-27,2,-28,2,-29,2,2,2,-31,-31,-31,-31,-31,-31,-31,-31,-31,3,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,1,1,2,2,3000,1,1,20,20067,999999997,97,4,1,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,-37,-38,3,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,0,-39,-39,0,-40,-40,-40,-40,0,-41,-41,-41,-43,-43,-43,-43,-43,1,280320001,1,3,48,1,1,5,4,1,1,-50,-50,2,2,2,2,2,2,2,1,17.4464356
